"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/02/2018","AQS","060370002","2","78","ug/m3 SC","62","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/08/2018","AQS","060370002","2","14","ug/m3 SC","13","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/14/2018","AQS","060370002","2","10","ug/m3 SC","9","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/20/2018","AQS","060370002","2","13","ug/m3 SC","12","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/26/2018","AQS","060370002","2","16","ug/m3 SC","15","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/01/2018","AQS","060370002","2","37","ug/m3 SC","34","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/07/2018","AQS","060370002","2","23","ug/m3 SC","21","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/22/2018","AQS","060370002","2","16","ug/m3 SC","15","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/25/2018","AQS","060370002","2","13","ug/m3 SC","12","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/03/2018","AQS","060370002","2","8","ug/m3 SC","7","Azusa","1","100.0000","81102","PM10 Total 0-10um STP","063","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
